x,t,u
-1.0,0.0,-1.0
-0.9921568627450981,0.0,-0.9840764351349724
-0.9843137254901961,0.0,-0.9676972901842749
-0.9764705882352941,0.0,-0.9508909806857707
-0.9686274509803922,0.0,-0.9336857858220468
-0.9607843137254902,0.0,-0.9161098207313794
-0.9529411764705882,0.0,-0.8981910093457561
-0.9450980392156862,0.0,-0.8799570577781815
-0.9372549019607843,0.0,-0.8614354282807917
-0.9294117647058824,0.0,-0.842653313794589
-0.9215686274509804,0.0,-0.8236376131108559
-0.9137254901960784,0.0,-0.8044149066635696
-0.9058823529411765,0.0,-0.7850114329713651
-0.8980392156862745,0.0,-0.7654530657468157
-0.8901960784313725,0.0,-0.745765291690014
-0.8823529411764706,0.0,-0.7259731889826299
-0.8745098039215686,0.0,-0.7061014064978068
-0.8666666666666667,0.0,-0.6861741437404426
-0.8588235294117648,0.0,-0.6662151315315601
-0.8509803921568627,0.0,-0.6462476134496364
-0.8431372549019608,0.0,-0.6262943280409132
-0.8352941176470589,0.0,-0.6063774918098503
-0.8274509803921568,0.0,-0.5865187830000311
-0.8196078431372549,0.0,-0.5667393261749594
-0.8117647058823529,0.0,-0.5470596776073129
-0.803921568627451,0.0,-0.5274998114843554
-0.7960784313725491,0.0,-0.5080791069363255
-0.788235294117647,0.0,-0.48881633589374474
-0.7803921568627451,0.0,-0.46972965177871134
-0.7725490196078432,0.0,-0.4508365790343627
-0.7647058823529411,0.0,-0.43215400349581784
-0.7568627450980392,0.0,-0.413698163605029
-0.7490196078431373,0.0,-0.39548464247109805
-0.7411764705882353,0.0,-0.37752836077674795
-0.7333333333333334,0.0,-0.3598435705307639
-0.7254901960784313,0.0,-0.3424438496653622
-0.7176470588235294,0.0,-0.3253420974765877
-0.7098039215686275,0.0,-0.30855053090498236
-0.7019607843137254,0.0,-0.29208068165293677
-0.6941176470588235,0.0,-0.27594339413428903
-0.6862745098039216,0.0,-0.260148824250911
-0.6784313725490196,0.0,-0.2447064389902085
-0.6705882352941177,0.0,-0.22962501683664602
-0.6627450980392157,0.0,-0.21491264898961607
-0.6549019607843137,0.0,-0.20057674137918263
-0.6470588235294118,0.0,-0.18662401747045373
-0.6392156862745098,0.0,-0.17306052184658313
-0.6313725490196078,0.0,-0.15989162455964628
-0.6235294117647059,0.0,-0.14712202623790305
-0.615686274509804,0.0,-0.13475576393724784
-0.607843137254902,0.0,-0.12279621772393429
-0.6,0.0,-0.11124611797498103
-0.592156862745098,0.0,-0.10010755338199268
-0.5843137254901961,0.0,-0.08938197964347344
-0.5764705882352941,0.0,-0.07907022883007984
-0.5686274509803921,0.0,-0.06917251940663749
-0.5607843137254902,0.0,-0.059688466894146815
-0.5529411764705883,0.0,-0.05061709515442816
-0.5450980392156863,0.0,-0.04195684827949178
-0.5372549019607843,0.0,-0.0337056030671796
-0.5294117647058824,0.0,-0.025860682064108836
-0.5215686274509804,0.0,-0.018418867156445515
-0.5137254901960784,0.0,-0.011376413688564627
-0.5058823529411764,0.0,-0.004729065089194599
-0.4980392156862745,0.0,0.001527932015786835
-0.4901960784313726,0.0,0.007399812225146658
-0.48235294117647065,0.0,0.012892275340310776
-0.4745098039215686,0.0,0.01801146992159075
-0.4666666666666667,0.0,0.022763976444955644
-0.45882352941176474,0.0,0.027156790081998488
-0.4509803921568627,0.0,0.031197303126037947
-0.44313725490196076,0.0,0.03489328708756436
-0.43529411764705883,0.0,0.038252874482484
-0.4274509803921569,0.0,0.04128454033683203
-0.41960784313725497,0.0,0.043997083431820794
-0.4117647058823529,0.0,0.04639960731325975
-0.403921568627451,0.0,0.04850150108952603
-0.39607843137254906,0.0,0.050312420042386674
-0.388235294117647,0.0,0.05184226607506544
-0.3803921568627451,0.0,0.05310116802201869
-0.37254901960784315,0.0,0.05409946184492782
-0.3647058823529412,0.0,0.05484767073943547
-0.3568627450980393,0.0,0.05535648517714657
-0.34901960784313724,0.0,0.055636742907384844
-0.3411764705882353,0.0,0.05569940894313937
-0.33333333333333337,0.0,0.05555555555555555
-0.3254901960784313,0.0,0.055216342301219454
-0.3176470588235294,0.0,0.0546929961063551
-0.30980392156862746,0.0,0.053996791431900296
-0.3019607843137255,0.0,0.05313903054324816
-0.2941176470588236,0.0,0.05213102390824018
-0.28627450980392155,0.0,0.050984070746770235
-0.2784313725490196,0.0,0.04970943975511063
-0.2705882352941177,0.0,0.048318350027798516
-0.26274509803921564,0.0,0.04682195219962646
-0.2549019607843137,0.0,0.04523130982996331
-0.24705882352941178,0.0,0.04355738105129174
-0.23921568627450984,0.0,0.041811000503487857
-0.2313725490196079,0.0,0.040002861574985324
-0.22352941176470587,0.0,0.03814349897156237
-0.21568627450980393,0.0,0.03624327163306656
-0.207843137254902,0.0,0.034312346017946624
-0.19999999999999996,0.0,0.03236067977499788
-0.19215686274509802,0.0,0.030398005821243627
-0.1843137254901961,0.0,0.028433816844372767
-0.17647058823529416,0.0,0.02647735024763505
-0.16862745098039222,0.0,0.024537573554556012
-0.16078431372549018,0.0,0.0226231702902799
-0.15294117647058825,0.0,0.020742526355777228
-0.14509803921568631,0.0,0.01890371691056569
-0.13725490196078427,0.0,0.0171144937789914
-0.12941176470588234,0.0,0.01538227339449919
-0.1215686274509804,0.0,0.013714125295688865
-0.11372549019607847,0.0,0.012116761187310001
-0.10588235294117654,0.0,0.010596524578688784
-0.0980392156862745,0.0,0.009159381011410577
-0.09019607843137256,0.0,0.007810908887399899
-0.08235294117647063,0.0,0.006556290907846398
-0.07450980392156858,0.0,0.005400306132722828
-0.06666666666666665,0.0,0.0043473226699280235
-0.05882352941176472,0.0,0.0034012910023664437
-0.050980392156862786,0.0,0.0025657379605467656
-0.04313725490196085,0.0,0.0018437613475444702
-0.03529411764705881,0.0,0.0012380252224300978
-0.027450980392156876,0.0,0.0007507558475151571
-0.019607843137254943,0.0,0.000383738304012706
-0.0117647058823529,0.0,0.0001383137799505904
-0.0039215686274509665,0.0,1.5377533411992672e-05
0.0039215686274509665,0.0,1.5377533411992672e-05
0.0117647058823529,0.0,0.0001383137799505904
0.019607843137254832,0.0,0.00038373830401270163
0.027450980392156765,0.0,0.0007507558475151511
0.0352941176470587,0.0,0.00123802522243009
0.04313725490196085,0.0,0.0018437613475444702
0.050980392156862786,0.0,0.0025657379605467656
0.05882352941176472,0.0,0.0034012910023664437
0.06666666666666665,0.0,0.0043473226699280235
0.07450980392156858,0.0,0.005400306132722828
0.08235294117647052,0.0,0.006556290907846382
0.09019607843137245,0.0,0.00781090888739988
0.0980392156862746,0.0,0.009159381011410596
0.10588235294117654,0.0,0.010596524578688784
0.11372549019607847,0.0,0.012116761187310001
0.1215686274509804,0.0,0.013714125295688865
0.12941176470588234,0.0,0.01538227339449919
0.13725490196078427,0.0,0.0171144937789914
0.1450980392156862,0.0,0.018903716910565662
0.15294117647058814,0.0,0.020742526355777204
0.16078431372549007,0.0,0.022623170290279875
0.16862745098039222,0.0,0.024537573554556012
0.17647058823529416,0.0,0.02647735024763505
0.1843137254901961,0.0,0.028433816844372767
0.19215686274509802,0.0,0.030398005821243627
0.19999999999999996,0.0,0.03236067977499788
0.2078431372549019,0.0,0.034312346017946596
0.21568627450980382,0.0,0.03624327163306654
0.22352941176470598,0.0,0.038143498971562405
0.2313725490196079,0.0,0.040002861574985324
0.23921568627450984,0.0,0.041811000503487857
0.24705882352941178,0.0,0.04355738105129174
0.2549019607843137,0.0,0.04523130982996331
0.26274509803921564,0.0,0.04682195219962646
0.2705882352941176,0.0,0.048318350027798496
0.2784313725490195,0.0,0.049709439755110614
0.28627450980392144,0.0,0.050984070746770214
0.2941176470588236,0.0,0.05213102390824018
0.3019607843137255,0.0,0.05313903054324816
0.30980392156862746,0.0,0.053996791431900296
0.3176470588235294,0.0,0.0546929961063551
0.3254901960784313,0.0,0.055216342301219454
0.33333333333333326,0.0,0.055555555555555566
0.3411764705882352,0.0,0.055699408943139385
0.34901960784313735,0.0,0.05563674290738485
0.3568627450980393,0.0,0.05535648517714657
0.3647058823529412,0.0,0.05484767073943547
0.37254901960784315,0.0,0.05409946184492782
0.3803921568627451,0.0,0.05310116802201869
0.388235294117647,0.0,0.05184226607506544
0.39607843137254894,0.0,0.050312420042386674
0.4039215686274509,0.0,0.04850150108952604
0.4117647058823528,0.0,0.04639960731325976
0.41960784313725497,0.0,0.043997083431820794
0.4274509803921569,0.0,0.04128454033683203
0.43529411764705883,0.0,0.038252874482484
0.44313725490196076,0.0,0.03489328708756436
0.4509803921568627,0.0,0.031197303126037947
0.45882352941176463,0.0,0.027156790081998568
0.46666666666666656,0.0,0.022763976444955727
0.4745098039215687,0.0,0.018011469921590712
0.48235294117647065,0.0,0.012892275340310776
0.4901960784313726,0.0,0.007399812225146658
0.4980392156862745,0.0,0.001527932015786835
0.5058823529411764,0.0,-0.004729065089194599
0.5137254901960784,0.0,-0.011376413688564627
0.5215686274509803,0.0,-0.01841886715644545
0.5294117647058822,0.0,-0.025860682064108763
0.5372549019607842,0.0,-0.033705603067179526
0.5450980392156863,0.0,-0.04195684827949178
